sp1,sp2,y,y_tree
hg38,rheMac10,43.99852867644501,44.0
hg38,mm10,273.2804433792114,274.72
hg38,rn6,400.88353496710965,397.65
hg38,felCat9,103.00076223739623,103.08
hg38,canFam4,154.05685926850893,153.22
hg38,equCab3,114.99892059120178,116.59
hg38,galGal6,543.8204170817413,544.79
rheMac10,mm10,260.36902821231075,260.99
rheMac10,rn6,385.37972273384094,383.92
rheMac10,felCat9,88.00321256828309,89.35
rheMac10,canFam4,140.0297682602844,139.49
rheMac10,equCab3,99.00565301099397,102.86
rheMac10,galGal6,534.8761822705078,531.06
mm10,rn6,219.98833758937838,219.99
mm10,felCat9,249.08629187068178,248.81
mm10,canFam4,297.366334407547,298.95
mm10,equCab3,258.6534844631958,262.32
mm10,galGal6,697.5456701214065,690.52
rn6,felCat9,377.7145634521408,371.74
rn6,canFam4,421.3792510821457,421.88
rn6,equCab3,387.5905228344726,385.25
rn6,galGal6,800.9338198488235,813.45
felCat9,canFam4,87.43064984653472,87.43
felCat9,equCab3,77.99862493309021,80.09
felCat9,galGal6,516.1366653050995,518.88
canFam4,equCab3,132.3243768612976,130.23
canFam4,galGal6,567.6570326895904,569.03
equCab3,galGal6,539.1631894049835,532.4
