sp1,sp2,y,y_tree
hg38,rheMac10,39,39.0
hg38,mm10,236,231.85
hg38,rn6,308,303.68
hg38,felCat9,89,96.59
hg38,canFam4,140,139.59
hg38,equCab3,101,107.19
hg38,galGal6,406,401.09
rheMac10,mm10,222,218.18
rheMac10,rn6,296,290.02
rheMac10,felCat9,74,82.93
rheMac10,canFam4,125,125.93
rheMac10,equCab3,85,93.53
rheMac10,galGal6,396,387.42
mm10,rn6,155,155.0
mm10,felCat9,217,212.47
mm10,canFam4,254,255.47
mm10,equCab3,225,223.07
mm10,galGal6,504,516.96
rn6,felCat9,291,284.3
rn6,canFam4,329,327.3
rn6,equCab3,295,294.9
rn6,galGal6,570,588.8
felCat9,canFam4,82,82.0
felCat9,equCab3,72,75.0
felCat9,galGal6,390,381.71
canFam4,equCab3,121,118.0
canFam4,galGal6,422,424.71
equCab3,galGal6,405,392.31
