sp1,sp2,y,y_tree
hg38,rheMac10,43.99852867644501,44.0
hg38,mm10,279.0916782959747,282.18
hg38,rn6,427.4852532250366,424.63
hg38,felCat9,105.00662361044311,103.9
hg38,canFam4,155.99915388084412,154.59
hg38,equCab3,115.99515333822633,116.46
hg38,galGal6,569.0950987854309,570.92
rheMac10,mm10,266.2730060180817,267.75
rheMac10,rn6,411.90723752529146,410.2
rheMac10,felCat9,90.99965960494997,89.48
rheMac10,canFam4,141.99550036480713,140.16
rheMac10,equCab3,99.99750582035064,102.03
rheMac10,galGal6,554.9414089798889,556.49
mm10,rn6,239.0029824298782,239.0
mm10,felCat9,254.00890165168764,256.29
mm10,canFam4,303.41896462014773,306.98
mm10,equCab3,266.51458441932675,268.84
mm10,galGal6,736.0475096754835,723.31
rn6,felCat9,402.9102464684601,398.74
rn6,canFam4,448.568503521019,449.43
rn6,equCab3,412.7795225034103,411.29
rn6,galGal6,856.3839577173385,865.75
felCat9,canFam4,89.61497662363433,89.61
felCat9,equCab3,79.00108326397705,80.72
felCat9,galGal6,540.0398105444183,542.83
canFam4,equCab3,133.1316302354431,131.41
canFam4,galGal6,592.9797795628051,593.52
equCab3,galGal6,558.7169695263825,555.38
