sp1,sp2,y,y_tree
hg38,rheMac10,44,44.0
hg38,mm10,262,256.91
hg38,rn6,399,394.91
hg38,felCat9,103,107.96
hg38,canFam4,154,155.46
hg38,equCab3,115,121.41
hg38,galGal6,518,514.34
rheMac10,mm10,248,242.91
rheMac10,rn6,384,380.91
rheMac10,felCat9,88,93.96
rheMac10,canFam4,140,141.46
rheMac10,equCab3,99,107.41
rheMac10,galGal6,508,500.34
mm10,rn6,220,220.0
mm10,felCat9,236,232.46
mm10,canFam4,278,279.96
mm10,equCab3,248,245.91
mm10,galGal6,625,638.84
rn6,felCat9,376,370.46
rn6,canFam4,418,417.96
rn6,equCab3,386,383.91
rn6,galGal6,762,776.84
felCat9,canFam4,86,86.0
felCat9,equCab3,78,81.25
felCat9,galGal6,495,489.9
canFam4,equCab3,132,128.75
canFam4,galGal6,539,537.4
equCab3,galGal6,514,503.35
